ID;TITULO;FRASE;PARTE;LINK;AS;P1;A1;A2;A3
sOA89CKfHPw;The Boondocks - Episódio 4 (Dublado PT-BR);"""É, tá se borrando todo seu criolo safado.""";Fim;https://www.youtube.com/watch?v=sOA89CKfHPw&list=PLZnx7A_iEZfP4n3pQle4-EgDYma_2FqzO&index=4;Negativo;Negativo;Negativo;Negativo;Negativo
fk3E74NwJqw;The boondocks 1Temporada - Ep5 (Dublado PT-BR);"""Aqui a gente não desperdiça porra nenhuma.""";Início;https://www.youtube.com/watch?v=fk3E74NwJqw&list=PLZnx7A_iEZfP4n3pQle4-EgDYma_2FqzO&index=5;Negativo;Negativo;Negativo;Negativo;Negativo
fk3E74NwJqw;The boondocks 1Temporada - Ep5 (Dublado PT-BR);""" mandado para a prisão e ser estuprado""";Início;https://www.youtube.com/watch?v=fk3E74NwJqw&list=PLZnx7A_iEZfP4n3pQle4-EgDYma_2FqzO&index=5;Negativo;Negativo;Negativo;Negativo;Negativo
fk3E74NwJqw;The boondocks 1Temporada - Ep5 (Dublado PT-BR);"""descreviu violento estupro""";Início;https://www.youtube.com/watch?v=fk3E74NwJqw&list=PLZnx7A_iEZfP4n3pQle4-EgDYma_2FqzO&index=5;Negativo;Negativo;Positivo;Negativo;Negativo
fk3E74NwJqw;The boondocks 1Temporada - Ep5 (Dublado PT-BR);"""Vou caçar ele por aí, dá para ele comer os seus próprios testículos.""";Início;https://www.youtube.com/watch?v=fk3E74NwJqw&list=PLZnx7A_iEZfP4n3pQle4-EgDYma_2FqzO&index=5;Negativo;Neutro;Negativo;Negativo;Negativo
fk3E74NwJqw;The boondocks 1Temporada - Ep5 (Dublado PT-BR);"""Eles vão te estuprar""";Início;https://www.youtube.com/watch?v=fk3E74NwJqw&list=PLZnx7A_iEZfP4n3pQle4-EgDYma_2FqzO&index=5;Negativo;Negativo;Negativo;Positivo;Negativo
fk3E74NwJqw;The boondocks 1Temporada - Ep5 (Dublado PT-BR);"""Foda-se.""";Meio;https://www.youtube.com/watch?v=fk3E74NwJqw&list=PLZnx7A_iEZfP4n3pQle4-EgDYma_2FqzO&index=5;Negativo;Negativo;Negativo;Negativo;Negativo
fk3E74NwJqw;The boondocks 1Temporada - Ep5 (Dublado PT-BR);"""A gente tem que ir atrás do filho da puta.""";Meio;https://www.youtube.com/watch?v=fk3E74NwJqw&list=PLZnx7A_iEZfP4n3pQle4-EgDYma_2FqzO&index=5;Negativo;Negativo;Negativo;Negativo;Negativo
fk3E74NwJqw;The boondocks 1Temporada - Ep5 (Dublado PT-BR);"""Eu vou montar no traseiro dele que nem um filho da puta.""";Meio;https://www.youtube.com/watch?v=fk3E74NwJqw&list=PLZnx7A_iEZfP4n3pQle4-EgDYma_2FqzO&index=5;Negativo;Negativo;Negativo;Neutro;Negativo
fk3E74NwJqw;The boondocks 1Temporada - Ep5 (Dublado PT-BR);"""Eu quero que todo mundo se foda!""";Meio;https://www.youtube.com/watch?v=fk3E74NwJqw&list=PLZnx7A_iEZfP4n3pQle4-EgDYma_2FqzO&index=5;Negativo;Negativo;Negativo;Negativo;Negativo
fk3E74NwJqw;The boondocks 1Temporada - Ep5 (Dublado PT-BR);"""Eu tô com fome pra caralho.""";Meio;https://www.youtube.com/watch?v=fk3E74NwJqw&list=PLZnx7A_iEZfP4n3pQle4-EgDYma_2FqzO&index=5;Negativo;Negativo;Negativo;Negativo;Negativo
fk3E74NwJqw;The boondocks 1Temporada - Ep5 (Dublado PT-BR);"""É a merda do racismo.""";Fim;https://www.youtube.com/watch?v=fk3E74NwJqw&list=PLZnx7A_iEZfP4n3pQle4-EgDYma_2FqzO&index=5;Negativo;Negativo;Negativo;Negativo;Neutro
fk3E74NwJqw;The boondocks 1Temporada - Ep5 (Dublado PT-BR);"""Português, eu filho da puta, você fala?""";Fim;https://www.youtube.com/watch?v=fk3E74NwJqw&list=PLZnx7A_iEZfP4n3pQle4-EgDYma_2FqzO&index=5;Negativo;Negativo;Negativo;Negativo;Negativo
fk3E74NwJqw;The boondocks 1Temporada - Ep5 (Dublado PT-BR);"""Eu te desafio, seu filho da puta.""";Fim;https://www.youtube.com/watch?v=fk3E74NwJqw&list=PLZnx7A_iEZfP4n3pQle4-EgDYma_2FqzO&index=5;Negativo;Negativo;Negativo;Negativo;Negativo
fk3E74NwJqw;The boondocks 1Temporada - Ep5 (Dublado PT-BR);"""Caralho!""";Fim;https://www.youtube.com/watch?v=fk3E74NwJqw&list=PLZnx7A_iEZfP4n3pQle4-EgDYma_2FqzO&index=5;Negativo;Negativo;Negativo;Negativo;Negativo
fk3E74NwJqw;The boondocks 1Temporada - Ep5 (Dublado PT-BR);"""Mas, o que vocês estão olhando, caralho?""";Fim;https://www.youtube.com/watch?v=fk3E74NwJqw&list=PLZnx7A_iEZfP4n3pQle4-EgDYma_2FqzO&index=5;Negativo;Negativo;Negativo;Negativo;Negativo
_yGZR-r3nl0;Stan e Kyle a MELHOR Dupla de SOUTH PARK;"""puta,puta,puta""";Início;https://www.youtube.com/watch?v=_yGZR-r3nl0;Negativo;Negativo;Negativo;Negativo;Negativo
_yGZR-r3nl0;Stan e Kyle a MELHOR Dupla de SOUTH PARK;"""seu puto fudido""";Início;https://www.youtube.com/watch?v=_yGZR-r3nl0;Negativo;Negativo;Negativo;Negativo;Positivo
_yGZR-r3nl0;Stan e Kyle a MELHOR Dupla de SOUTH PARK;"""fudido""";Início;https://www.youtube.com/watch?v=_yGZR-r3nl0;Negativo;Negativo;Negativo;Negativo;Negativo
_yGZR-r3nl0;Stan e Kyle a MELHOR Dupla de SOUTH PARK;"""Emorroida""";Início;https://www.youtube.com/watch?v=_yGZR-r3nl0;Negativo;Negativo;Negativo;Negativo;Neutro
_yGZR-r3nl0;Stan e Kyle a MELHOR Dupla de SOUTH PARK;"""Que diabos""";Início;https://www.youtube.com/watch?v=_yGZR-r3nl0;Negativo;Neutro;Negativo;Negativo;Negativo
_yGZR-r3nl0;Stan e Kyle a MELHOR Dupla de SOUTH PARK;"""porra""";Meio;https://www.youtube.com/watch?v=_yGZR-r3nl0;Negativo;Negativo;Negativo;Negativo;Negativo
_yGZR-r3nl0;Stan e Kyle a MELHOR Dupla de SOUTH PARK;"""Bixas""";Meio;https://www.youtube.com/watch?v=_yGZR-r3nl0;Negativo;Negativo;Negativo;Negativo;Neutro
_yGZR-r3nl0;Stan e Kyle a MELHOR Dupla de SOUTH PARK;"""Que merda""";Meio;https://www.youtube.com/watch?v=_yGZR-r3nl0;Negativo;Negativo;Negativo;Negativo;Negativo
_yGZR-r3nl0;Stan e Kyle a MELHOR Dupla de SOUTH PARK;"""Monte de bosta""";Meio;https://www.youtube.com/watch?v=_yGZR-r3nl0;Negativo;Negativo;Negativo;Negativo;Negativo
_yGZR-r3nl0;Stan e Kyle a MELHOR Dupla de SOUTH PARK;"""Voce e um bosta""";Meio;https://www.youtube.com/watch?v=_yGZR-r3nl0;Negativo;Negativo;Negativo;Negativo;Negativo
_yGZR-r3nl0;Stan e Kyle a MELHOR Dupla de SOUTH PARK;"""No meu rabo""";Fim;https://www.youtube.com/watch?v=_yGZR-r3nl0;Negativo;Negativo;Negativo;Negativo;Negativo
_yGZR-r3nl0;Stan e Kyle a MELHOR Dupla de SOUTH PARK;"""Não peida""";Fim;https://www.youtube.com/watch?v=_yGZR-r3nl0;Negativo;Negativo;Negativo;Negativo;Negativo
_yGZR-r3nl0;Stan e Kyle a MELHOR Dupla de SOUTH PARK;"""Caralho""";Fim;https://www.youtube.com/watch?v=_yGZR-r3nl0;Negativo;Positivo;Negativo;Negativo;Negativo
_yGZR-r3nl0;Stan e Kyle a MELHOR Dupla de SOUTH PARK;"""Se pegar""";Fim;https://www.youtube.com/watch?v=_yGZR-r3nl0;Negativo;Negativo;Negativo;Neutro;Negativo
xRt1a-TMxcI;South Park FBF - Padre Tarado (Dublado);"""Oh, caralho!""";Início;https://www.youtube.com/watch?v=xRt1a-TMxcI;Negativo;Negativo;Negativo;Negativo;Negativo
xRt1a-TMxcI;South Park FBF - Padre Tarado (Dublado);"""sem esses putos aparecerem""";Início;https://www.youtube.com/watch?v=xRt1a-TMxcI;Negativo;Negativo;Negativo;Negativo;Negativo
xRt1a-TMxcI;South Park FBF - Padre Tarado (Dublado);"""pra se sincero ele é uma bosta""";Início;https://www.youtube.com/watch?v=xRt1a-TMxcI;Negativo;Negativo;Negativo;Negativo;Negativo
xRt1a-TMxcI;South Park FBF - Padre Tarado (Dublado);"""Meu pau""";Início;https://www.youtube.com/watch?v=xRt1a-TMxcI;Negativo;Negativo;Negativo;Negativo;Negativo
xRt1a-TMxcI;South Park FBF - Padre Tarado (Dublado);"""porra!""";Início;https://www.youtube.com/watch?v=xRt1a-TMxcI;Negativo;Negativo;Negativo;Negativo;Negativo
xRt1a-TMxcI;South Park FBF - Padre Tarado (Dublado);"""pé na porra do universo""";Meio;https://www.youtube.com/watch?v=xRt1a-TMxcI;Negativo;Negativo;Neutro;Negativo;Negativo
xRt1a-TMxcI;South Park FBF - Padre Tarado (Dublado);Chega no seu filho da puta.;Meio;https://www.youtube.com/watch?v=xRt1a-TMxcI;Negativo;Negativo;Negativo;Neutro;Negativo
xRt1a-TMxcI;South Park FBF - Padre Tarado (Dublado);"""Feira puta!""";Meio;https://www.youtube.com/watch?v=xRt1a-TMxcI;Negativo;Negativo;Negativo;Negativo;Negativo
xRt1a-TMxcI;South Park FBF - Padre Tarado (Dublado);"""Que merda nada!""";Meio;https://www.youtube.com/watch?v=xRt1a-TMxcI;Negativo;Positivo;Negativo;Negativo;Negativo
xRt1a-TMxcI;South Park FBF - Padre Tarado (Dublado);"""cidade foda.""";Meio;https://www.youtube.com/watch?v=xRt1a-TMxcI;Negativo;Negativo;Negativo;Negativo;Negativo
xRt1a-TMxcI;South Park FBF - Padre Tarado (Dublado);""" em uma franquia foda""";Fim;https://www.youtube.com/watch?v=xRt1a-TMxcI;Negativo;Negativo;Negativo;Negativo;Negativo
xRt1a-TMxcI;South Park FBF - Padre Tarado (Dublado);"""sua piranha burra""";Fim;https://www.youtube.com/watch?v=xRt1a-TMxcI;Negativo;Negativo;Negativo;Negativo;Negativo
xRt1a-TMxcI;South Park FBF - Padre Tarado (Dublado);"""Todo pai um dia comeu mãe de alguém""";Fim;https://www.youtube.com/watch?v=xRt1a-TMxcI;Negativo;Negativo;Negativo;Neutro;Negativo
xRt1a-TMxcI;South Park FBF - Padre Tarado (Dublado);"""já comeu a sua mãe""";Fim;https://www.youtube.com/watch?v=xRt1a-TMxcI;Negativo;Negativo;Negativo;Negativo;Negativo
xRt1a-TMxcI;South Park FBF - Padre Tarado (Dublado);"""Meu pai comeu a minha mãe""";Fim;https://www.youtube.com/watch?v=xRt1a-TMxcI;Negativo;Neutro;Negativo;Negativo;Negativo
rnqEzTwdY4U;South Park FBF - O Poder do Peido (Dublado);"""Ah, conta essa porra!""";Início;https://www.youtube.com/watch?v=rnqEzTwdY4U;Negativo;Negativo;Negativo;Negativo;Negativo
rnqEzTwdY4U;South Park FBF - O Poder do Peido (Dublado);"""É só assim que eu relaxo de tanto ouvido as suas merdas, caralho!""";Início;https://www.youtube.com/watch?v=rnqEzTwdY4U;Negativo;Negativo;Neutro;Negativo;Negativo
rnqEzTwdY4U;South Park FBF - O Poder do Peido (Dublado);"""Não brinque no meu da rua, piralhos do caralho!""";Início;https://www.youtube.com/watch?v=rnqEzTwdY4U;Negativo;Negativo;Negativo;Negativo;Negativo
rnqEzTwdY4U;South Park FBF - O Poder do Peido (Dublado);"""quem cagou na minha varanda?""";Início;https://www.youtube.com/watch?v=rnqEzTwdY4U;Negativo;Negativo;Positivo;Negativo;Negativo
rnqEzTwdY4U;South Park FBF - O Poder do Peido (Dublado);"""Você não passa de uma bichinha!""";Início;https://www.youtube.com/watch?v=rnqEzTwdY4U;Negativo;Negativo;Negativo;Negativo;Negativo
rnqEzTwdY4U;South Park FBF - O Poder do Peido (Dublado);"""Ah, merda!""";Meio;https://www.youtube.com/watch?v=rnqEzTwdY4U;Negativo;Negativo;Negativo;Negativo;Negativo
rnqEzTwdY4U;South Park FBF - O Poder do Peido (Dublado);"""Foda-se os amigos da liberdade!""";Meio;https://www.youtube.com/watch?v=rnqEzTwdY4U;Negativo;Negativo;Positivo;Negativo;Negativo
rnqEzTwdY4U;South Park FBF - O Poder do Peido (Dublado);"""Repito, caralho, cadê você, Supercrack?""";Meio;https://www.youtube.com/watch?v=rnqEzTwdY4U;Negativo;Negativo;Negativo;Negativo;Negativo
rnqEzTwdY4U;South Park FBF - O Poder do Peido (Dublado);"""Caralho, mas que porra!""";Meio;https://www.youtube.com/watch?v=rnqEzTwdY4U;Negativo;Negativo;Negativo;Negativo;Negativo
rnqEzTwdY4U;South Park FBF - O Poder do Peido (Dublado);“Foda-se! Mãe! Foda-se! Foda-se! Foda-se!”;Meio;https://www.youtube.com/watch?v=rnqEzTwdY4U;Negativo;Negativo;Negativo;Negativo;Negativo
rnqEzTwdY4U;South Park FBF - O Poder do Peido (Dublado);"""Ei, que porra é essa agora?""";Fim;https://www.youtube.com/watch?v=rnqEzTwdY4U;Negativo;Negativo;Negativo;Negativo;Neutro
rnqEzTwdY4U;South Park FBF - O Poder do Peido (Dublado);"""Eu já dei conta de um merdinha.""";Fim;https://www.youtube.com/watch?v=rnqEzTwdY4U;Negativo;Negativo;Negativo;Negativo;Negativo
rnqEzTwdY4U;South Park FBF - O Poder do Peido (Dublado);"""E quando acabou seu último pingo de força, você achou sua ficha de habilidade. Porra, dói pra valer.""";Fim;https://www.youtube.com/watch?v=rnqEzTwdY4U;Negativo;Negativo;Negativo;Negativo;Negativo
rnqEzTwdY4U;South Park FBF - O Poder do Peido (Dublado);"""Comer a sua mãe.""";Fim;https://www.youtube.com/watch?v=rnqEzTwdY4U;Negativo;Negativo;Negativo;Negativo;Negativo
rnqEzTwdY4U;South Park FBF - O Poder do Peido (Dublado);“Se ele deixou você, puto. E o vilão cometerá um erro, fatal.”;Fim;https://www.youtube.com/watch?v=rnqEzTwdY4U;Negativo;Negativo;Negativo;Negativo;Negativo
NG9p6kyJZ1g;Brickleberry - Aparcalipse - Dublado em Português;"""se não fosse tão puritana na cama.""";Início;https://www.youtube.com/watch?v=NG9p6kyJZ1g;Negativo;Negativo;Negativo;Negativo;Negativo
NG9p6kyJZ1g;Brickleberry - Aparcalipse - Dublado em Português;"""mercado aberto de crianças escravas de Dubai""";Início;https://www.youtube.com/watch?v=NG9p6kyJZ1g;Negativo;Negativo;Negativo;Negativo;Negativo
NG9p6kyJZ1g;Brickleberry - Aparcalipse - Dublado em Português;"""Ela deu pro irmão do Bodo""";Início;https://www.youtube.com/watch?v=NG9p6kyJZ1g;Negativo;Negativo;Negativo;Negativo;Negativo
NG9p6kyJZ1g;Brickleberry - Aparcalipse - Dublado em Português;""" pensando que eu sou algum tipo de pervertido""";Início;https://www.youtube.com/watch?v=NG9p6kyJZ1g;Negativo;Negativo;Negativo;Negativo;Negativo
NG9p6kyJZ1g;Brickleberry - Aparcalipse - Dublado em Português;"""estava ordenando minha próstata""";Início;https://www.youtube.com/watch?v=NG9p6kyJZ1g;Negativo;Negativo;Negativo;Negativo;Negativo
